"x","y",""
-88.97,18.49,NA
-88.94,18.49,NA
-88.91,18.49,NA
-88.88,18.49,NA
-88.85,18.49,NA
-88.82,18.49,NA
-88.79,18.49,NA
-88.76,18.49,NA
-88.73,18.49,NA
-88.7,18.49,NA
-88.67,18.49,NA
-88.64,18.49,NA
-88.61,18.49,NA
-88.58,18.49,NA
-88.55,18.49,NA
-88.52,18.49,NA
-88.49,18.49,NA
-88.46,18.49,NA
-88.43,18.49,NA
-88.4,18.49,NA
-88.37,18.49,NA
-88.34,18.49,183.24
-88.31,18.49,14.49
-88.28,18.49,NA
-88.25,18.49,NA
-88.22,18.49,NA
-88.19,18.49,NA
-88.16,18.49,NA
-88.13,18.49,NA
-88.1,18.49,NA
-88.07,18.49,NA
-88.04,18.49,NA
-88.01,18.49,NA
-87.98,18.49,NA
-87.95,18.49,NA
-87.92,18.49,NA
-87.89,18.49,NA
-87.86,18.49,NA
-87.83,18.49,NA
-87.8,18.49,NA
-87.77,18.49,NA
-87.74,18.49,NA
-87.71,18.49,NA
-87.68,18.49,NA
-87.65,18.49,NA
-87.62,18.49,NA
-87.59,18.49,NA
-87.56,18.49,NA
-87.53,18.49,NA
-87.5,18.49,NA
-87.47,18.49,NA
-88.97,18.46,NA
-88.94,18.46,NA
-88.91,18.46,NA
-88.88,18.46,NA
-88.85,18.46,NA
-88.82,18.46,NA
-88.79,18.46,NA
-88.76,18.46,NA
-88.73,18.46,NA
-88.7,18.46,NA
-88.67,18.46,NA
-88.64,18.46,NA
-88.61,18.46,NA
-88.58,18.46,NA
-88.55,18.46,NA
-88.52,18.46,NA
-88.49,18.46,NA
-88.46,18.46,NA
-88.43,18.46,NA
-88.4,18.46,0.81
-88.37,18.46,182.43
-88.34,18.46,26.82
-88.31,18.46,248.22
-88.28,18.46,4.77
-88.25,18.46,NA
-88.22,18.46,NA
-88.19,18.46,NA
-88.16,18.46,NA
-88.13,18.46,NA
-88.1,18.46,NA
-88.07,18.46,NA
-88.04,18.46,NA
-88.01,18.46,NA
-87.98,18.46,NA
-87.95,18.46,NA
-87.92,18.46,NA
-87.89,18.46,NA
-87.86,18.46,NA
-87.83,18.46,NA
-87.8,18.46,NA
-87.77,18.46,NA
-87.74,18.46,NA
-87.71,18.46,NA
-87.68,18.46,NA
-87.65,18.46,NA
-87.62,18.46,NA
-87.59,18.46,NA
-87.56,18.46,NA
-87.53,18.46,NA
-87.5,18.46,NA
-87.47,18.46,NA
-88.97,18.43,NA
-88.94,18.43,NA
-88.91,18.43,NA
-88.88,18.43,NA
-88.85,18.43,NA
-88.82,18.43,NA
-88.79,18.43,NA
-88.76,18.43,NA
-88.73,18.43,NA
-88.7,18.43,NA
-88.67,18.43,NA
-88.64,18.43,NA
-88.61,18.43,NA
-88.58,18.43,NA
-88.55,18.43,NA
-88.52,18.43,NA
-88.49,18.43,NA
-88.46,18.43,NA
-88.43,18.43,NA
-88.4,18.43,NA
-88.37,18.43,17.82
-88.34,18.43,15.48
-88.31,18.43,1.08
-88.28,18.43,NA
-88.25,18.43,NA
-88.22,18.43,NA
-88.19,18.43,NA
-88.16,18.43,NA
-88.13,18.43,NA
-88.1,18.43,NA
-88.07,18.43,NA
-88.04,18.43,NA
-88.01,18.43,NA
-87.98,18.43,NA
-87.95,18.43,NA
-87.92,18.43,NA
-87.89,18.43,NA
-87.86,18.43,NA
-87.83,18.43,NA
-87.8,18.43,NA
-87.77,18.43,NA
-87.74,18.43,NA
-87.71,18.43,NA
-87.68,18.43,NA
-87.65,18.43,NA
-87.62,18.43,NA
-87.59,18.43,NA
-87.56,18.43,NA
-87.53,18.43,NA
-87.5,18.43,NA
-87.47,18.43,NA
-88.97,18.4,NA
-88.94,18.4,NA
-88.91,18.4,NA
-88.88,18.4,NA
-88.85,18.4,NA
-88.82,18.4,NA
-88.79,18.4,NA
-88.76,18.4,NA
-88.73,18.4,NA
-88.7,18.4,NA
-88.67,18.4,NA
-88.64,18.4,NA
-88.61,18.4,NA
-88.58,18.4,NA
-88.55,18.4,NA
-88.52,18.4,NA
-88.49,18.4,NA
-88.46,18.4,NA
-88.43,18.4,NA
-88.4,18.4,NA
-88.37,18.4,NA
-88.34,18.4,NA
-88.31,18.4,3.15
-88.28,18.4,NA
-88.25,18.4,NA
-88.22,18.4,NA
-88.19,18.4,NA
-88.16,18.4,NA
-88.13,18.4,NA
-88.1,18.4,NA
